,trade_id,currency,entry_date,exit_date,days_held,ois_cc_entry,spread_cc_annual,funding_cc,swap5_cc_entry,fx_local_entry,fx_gbp_entry,fx_local_exit,fx_gbp_exit,borrowed_usd,equity_usd,borrowed_gbp,interest_gbp,repay_gbp,repay_usd,bond_entry_price_local,n_bonds,bond_exit_price_local,bond_accrued_local,bond_proceeds_local,bond_proceeds_usd,bond_pnl_usd,borrow_cost_usd,total_pnl_usd
47,48,RepTurkey,2010-12-01,2010-12-07,6,0.005234,0.005,0.010234,0.07690966395290723,1.494326,0.640224,1.476051,0.633758,8000000.0,2000000.0,5121792.0,861.7122507282605,5122653.712250728,8082980.746989747,100.0,149432.6,127.07569967861187,0.1314156395629953,19008889.9804947,12878206.769613449,2878206.7696134485,82980.74698974658,2795226.022623702
48,49,RepTurkey,2010-12-08,2010-12-14,6,0.0051849999999999995,0.005,0.010185,0.07957511900337702,1.494932,0.633266,1.505204,0.632863,8000000.0,2000000.0,5066128.0,848.2657537446848,5066976.265753745,8006434.67188593,100.0,149493.2,127.62062761831592,0.13615380386589274,19098770.076502513,12688492.77340647,2688492.77340647,6434.671885930002,2682058.10152054
49,50,RepTurkey,2010-12-15,2010-12-21,6,0.0051329999999999995,0.005,0.010133,0.07802597910422558,1.51783,0.640796,1.556535,0.646597,8000000.0,2000000.0,5126368.0,853.9695363378355,5127221.969536338,7929548.033065941,100.0,151783.0,126.20989057225665,0.13339848597229945,19176763.443125166,12320162.054258443,2320162.0542584434,-70451.96693405882,2390614.021192502
50,51,RepTurkey,2010-12-22,2010-12-28,6,0.005143999999999999,0.005,0.010144,0.08006918000851018,1.552422,0.649066,1.559377,0.649184,8000000.0,2000000.0,5192528.0,865.929795713342,5193393.929795713,7999879.741022134,100.0,155242.2,127.11969808503596,0.1370334445081915,19755614.9674558,12668915.193346959,2668915.1933469586,-120.25897786580026,2669035.4523248244
51,52,RepTurkey,2010-12-29,2011-01-04,6,0.005129,0.005,0.010128999999999999,0.07669063215664476,1.563318,0.647332,1.546128,0.640908,8000000.0,2000000.0,5178656.0,862.3392956741566,5179518.339295674,8081531.732004709,100.0,156331.8,125.7182938060828,0.1310268456722427,19674250.826266035,12724852.551836612,2724852.5518366117,81531.73200470861,2643320.819831903
52,53,RepTurkey,2011-01-05,2011-01-11,6,0.005071,0.005,0.010071,0.07823176367839788,1.548809,0.643929,1.57999,0.641133,8000000.0,2000000.0,5151432.0,852.893692597981,5152284.893692598,8036218.528281337,100.0,154880.90000000002,126.21028415333964,0.1337642509683748,19568279.92650279,12385065.681746587,2385065.681746587,36218.52828133665,2348847.1534652505
53,54,RepTurkey,2011-01-12,2011-01-18,6,0.005033999999999999,0.005,0.010034,0.0806207433588244,1.568893,0.63735,1.536475,0.625607,8000000.0,2000000.0,5098800.0,841.0780072167529,5099641.078007217,8151508.979290859,100.0,156889.3,127.93874048805125,0.13801597755361836,20093872.66815922,13077904.077944139,3077904.077944139,151508.97929085884,2926395.09865328
54,55,RepTurkey,2011-01-19,2011-01-25,6,0.0050680000000000005,0.005,0.010068,0.08008417788220953,1.541973,0.625076,1.567597,0.632887,8000000.0,2000000.0,5000608.0,827.6759630115587,5001435.675963012,7902572.933182403,100.0,154197.3,127.31286197276236,0.13706015395773455,19652433.877150495,12536662.08671648,2536662.0867164806,-97427.06681759655,2634089.153534077
55,56,RepTurkey,2011-01-26,2011-02-01,6,0.00505,0.005,0.01005,0.08055056240585953,1.577546,0.629804,1.588139,0.620044,8000000.0,2000000.0,5038432.0,832.4453346186624,5039264.445334619,8127269.105635436,100.0,157754.59999999998,126.65197911135186,0.13789092989874308,20001685.23240947,12594417.259704264,2594417.259704264,127269.10563543625,2467148.1540688276
56,57,RepTurkey,2011-02-02,2011-02-08,6,0.005024,0.005,0.010024,0.0831691042181752,1.58083,0.617767,1.576763,0.622095,8000000.0,2000000.0,4942136.0,814.4227896807666,4942950.422789681,7945652.06727217,100.0,158083.0,127.32104193264067,0.14256256913041054,20149828.990453478,12779237.583868647,2779237.583868647,-54347.93272782955,2833585.5165964765
57,58,RepTurkey,2011-02-09,2011-02-15,6,0.005047,0.005,0.010047,0.08180255871108913,1.587522,0.621942,1.592708,0.62005,8000000.0,2000000.0,4975536.0,821.8083029980111,4976357.808302998,8025736.324978627,100.0,158752.2,125.73901170585303,0.1401230419581435,19983589.57531147,12546926.100271657,2546926.100271657,25736.324978627264,2521189.77529303
58,59,RepTurkey,2011-02-16,2011-02-22,6,0.0050929999999999994,0.005,0.010093,0.08169724020430671,1.586022,0.622353,1.596455,0.61947,8000000.0,2000000.0,4978824.0,826.1168139486764,4979650.116813948,8038565.413682581,100.0,158602.2,125.91771900997445,0.13993516798955627,19993021.279464286,12523385.425498549,2523385.425498549,38565.413682580926,2484820.011815968
59,60,RepTurkey,2011-02-23,2011-03-01,6,0.005078,0.005,0.010078,0.08287079031562336,1.59761,0.616472,1.608412,0.614314,8000000.0,2000000.0,4931776.0,817.0940671454678,4932593.094067145,8029432.9838928385,100.0,159761.0,126.7888525884963,0.14202974119510361,20278604.691873826,12607842.202043897,2607842.2020438965,29432.98389283847,2578409.218151058
60,61,RepTurkey,2011-03-02,2011-03-08,6,0.005086,0.005,0.010086000000000001,0.08197673183668117,1.618646,0.61316,1.592811,0.618962,8000000.0,2000000.0,4905280.0,813.3494085648443,4906093.349408565,7926323.989854895,100.0,161864.6,126.99021513755699,0.14043378667450726,20577951.635861162,12919267.656904154,2919267.6569041535,-73676.01014510542,2992943.667049259
61,62,RepTurkey,2011-03-09,2011-03-15,6,0.005107,0.005,0.010107000000000001,0.08117311472578168,1.584105,0.617027,1.586593,0.623223,8000000.0,2000000.0,4936216.0,820.1832294764648,4937036.183229476,7921781.101194077,100.0,158410.50000000003,127.15717456116158,0.1390004932384115,20165050.738455035,12709655.682619952,2709655.6826199517,-78218.89880592283,2787874.5814258745
62,63,RepTurkey,2011-03-16,2011-03-22,6,0.0051329999999999995,0.005,0.010133,0.08141193439451899,1.587135,0.623288,1.568486,0.610486,8000000.0,2000000.0,4986304.0,830.6371518625847,4987134.6371518625,8169122.0390833905,100.0,158713.5,127.34408168890636,0.1394263204134659,20233353.74843718,12899926.265479691,2899926.2654796913,169122.0390833905,2730804.226396301
63,64,RepTurkey,2011-03-23,2011-03-29,6,0.005078,0.005,0.010078,0.08007352208538693,1.557412,0.615437,1.561882,0.625794,8000000.0,2000000.0,4923496.0,815.7222410779488,4924311.722241078,7868902.1023548925,100.0,155741.2,126.18222877083335,0.13704117719534947,19673114.684829928,12595775.279329635,2595775.279329635,-131097.89764510747,2726873.1769747427
64,65,RepTurkey,2011-03-30,2011-04-05,6,0.005202,0.005,0.010202,0.08010907180089691,1.555073,0.623033,1.532215,0.614827,8000000.0,2000000.0,4984264.0,835.951650380897,4985099.951650381,8108134.404719345,100.0,155507.3,127.17991702572307,0.13710448798405533,19798726.259638507,12921637.145987023,2921637.1459870227,108134.40471934527,2813502.7412676774
