date,SONIA,5Y
2000-12-06,5.5586,5.1969
2000-12-07,6.0361,5.1955
2000-12-08,5.9843,5.241
2000-12-11,5.9161,5.2362
2000-12-12,5.8617,5.2443
2000-12-13,5.7543,5.2123
2000-12-14,6.2721,5.254
2000-12-15,5.8487,5.2448
2000-12-18,5.7204,5.2446
2000-12-19,5.7041,5.2832
2000-12-20,5.5177,5.2149
2000-12-21,5.0308,5.2112
2000-12-22,5.7761,5.1977
2000-12-27,6.3947,5.1694
2000-12-28,5.6771,5.1757
2000-12-29,4.3589,5.1556
2001-01-02,5.7733,5.0688
2001-01-03,6.0869,5.031
2001-01-04,5.526,5.0799
2001-01-05,5.326,5.0691
2001-01-08,5.3786,5.0679
2001-01-09,5.2348,5.1192
2001-01-10,5.7468,5.1187
2001-01-11,6.3986,5.119
2001-01-12,6.0413,5.1812
2001-01-15,6.1991,5.1456
2001-01-16,6.0572,5.1563
2001-01-17,6.0842,5.1694
2001-01-18,6.4398,5.1333
2001-01-19,6.4387,5.1334
2001-01-22,6.7105,5.1704
2001-01-23,5.4619,5.1781
2001-01-24,5.8631,5.1958
2001-01-25,6.3756,5.1916
2001-01-26,5.4442,5.1426
2001-01-29,5.7227,5.1327
2001-01-30,5.6353,5.117
2001-01-31,6.3133,5.0493
2001-02-01,6.7888,5.0613
2001-02-02,5.8022,5.0792
2001-02-05,6.8072,5.0723
2001-02-06,6.8966,5.0692
2001-02-07,6.934,5.0472
2001-02-08,6.5733,5.0926
2001-02-09,6.0045,5.0513
2001-02-12,5.5506,5.0427
2001-02-13,5.4937,5.0355
2001-02-14,5.621,5.0959
2001-02-15,5.6226,5.1517
2001-02-16,5.9788,5.1461
2001-02-19,5.4119,5.1305
2001-02-20,5.4755,5.1056
2001-02-21,5.073,5.1095
2001-02-22,5.0323,5.1217
2001-02-23,5.1643,5.101
2001-02-26,5.0774,5.0932
2001-02-27,5.2665,5.0557
2001-02-28,6.3192,5.0502
2001-03-01,5.8305,5.0261
2001-03-02,5.0332,5.0374
2001-03-05,5.2708,5.0602
2001-03-06,4.8981,5.062
2001-03-07,4.8493,5.0627
2001-03-08,4.8229,5.0162
2001-03-09,4.6541,4.9996
2001-03-12,4.4938,4.9813
2001-03-13,4.7046,4.995
2001-03-14,4.6988,4.9095
2001-03-15,4.756,4.8665
2001-03-16,5.4304,4.7974
2001-03-19,6.1067,4.7856
2001-03-20,6.5143,4.831
2001-03-21,5.7369,4.8181
2001-03-22,5.9064,4.7342
2001-03-23,5.3509,4.7504
2001-03-26,6.3067,4.7885
2001-03-27,5.919,4.8422
2001-03-28,5.3937,4.8713
2001-03-29,6.107,4.9052
2001-03-30,6.053,4.9041
2001-04-02,6.3844,4.8599
2001-04-03,6.6008,4.8378
2001-04-04,6.7194,4.867
2001-04-05,6.2586,4.8882
2001-04-06,5.0762,4.8419
2001-04-09,6.2392,4.8396
2001-04-10,5.8223,4.8879
2001-04-11,4.5148,5.0063
2001-04-12,4.0512,5.0553
2001-04-17,4.9318,5.0713
2001-04-18,4.7217,5.1175
2001-04-19,4.6429,5.1273
2001-04-20,4.7916,5.1225
2001-04-23,5.0164,5.0671
2001-04-24,5.0882,5.0797
2001-04-25,4.9248,5.1112
2001-04-26,4.9026,5.0751
2001-04-27,5.1338,5.1123
2001-04-30,5.1817,5.1847
2001-05-01,5.5336,5.1607
2001-05-02,5.4588,5.1447
2001-05-03,5.5822,5.1186
2001-05-04,6.0918,5.0483
2001-05-08,6.524,5.0361
2001-05-09,6.5986,5.0225
2001-05-10,6.1277,5.0558
2001-05-11,5.6529,5.1114
2001-05-14,5.853,5.1667
2001-05-15,6.0406,5.1791
2001-05-16,5.6023,5.1388
2001-05-17,5.0336,5.1824
2001-05-18,5.0359,5.2543
2001-05-21,5.1209,5.2658
2001-05-22,4.8882,5.2687
2001-05-23,4.9134,5.2971
2001-05-24,4.9031,5.3308
2001-05-25,4.6485,5.359
2001-05-29,4.9378,5.3442
2001-05-30,5.4731,5.341
2001-05-31,5.9056,5.343
2001-06-01,5.1583,5.258
2001-06-04,5.2654,5.259
2001-06-05,4.9884,5.2322
2001-06-06,4.9322,5.2381
2001-06-07,4.8373,5.2483
2001-06-08,4.8433,5.2504
2001-06-11,4.9054,5.2321
2001-06-12,5.3504,5.3719
2001-06-13,5.4448,5.4138
2001-06-14,5.7992,5.3731
2001-06-15,4.4995,5.3606
2001-06-18,4.4593,5.3487
2001-06-19,4.4211,5.3761
2001-06-20,4.3698,5.4049
2001-06-21,4.2938,5.4165
2001-06-22,4.2612,5.3401
2001-06-25,4.3925,5.3086
2001-06-26,4.3471,5.3281
2001-06-27,4.5431,5.3663
2001-06-28,4.5517,5.4631
2001-06-29,4.7082,5.5139
2001-07-02,5.3075,5.5035
2001-07-03,5.566,5.5115
2001-07-04,5.6445,5.4987
2001-07-05,5.6853,5.5032
2001-07-06,5.2406,5.378
2001-07-09,5.4184,5.4109
2001-07-10,5.5074,5.3864
2001-07-11,6.0833,5.296
2001-07-12,5.5152,5.3347
2001-07-13,4.541,5.3636
2001-07-16,5.8112,5.3513
2001-07-17,4.9927,5.3677
2001-07-18,4.4827,5.3487
2001-07-19,4.4088,5.3938
2001-07-20,4.4776,5.3379
2001-07-23,5.0579,5.3201
2001-07-24,4.8776,5.3164
2001-07-25,5.5041,5.3208
2001-07-26,5.5612,5.309
2001-07-27,5.1837,5.2709
2001-07-30,5.7157,5.2551
2001-07-31,5.8914,5.2351
2001-08-01,5.8366,5.2739
2001-08-02,5.8225,5.2606
2001-08-03,5.7038,5.2143
2001-08-06,5.8986,5.1773
2001-08-07,4.7094,5.1701
2001-08-08,4.2952,5.1194
2001-08-09,4.2759,5.0463
2001-08-10,4.2472,5.015
2001-08-13,4.2199,4.999
2001-08-14,4.2152,5.0676
2001-08-15,4.2088,5.1604
2001-08-16,4.2287,5.1478
2001-08-17,4.2744,5.0665
2001-08-20,4.6103,5.0967
2001-08-21,4.296,5.1172
2001-08-22,4.2917,5.1321
2001-08-23,5.7749,5.1073
2001-08-24,5.6075,5.1325
2001-08-28,5.0229,5.0558
2001-08-29,5.3996,5.0543
2001-08-30,4.5097,5.0092
2001-08-31,4.253,5.03
2001-09-03,4.2272,5.0011
2001-09-04,4.195,5.1516
2001-09-05,4.1757,5.1634
2001-09-06,4.1517,5.1093
2001-09-07,4.1514,5.0273
2001-09-10,4.2007,5.0197
2001-09-11,5.3449,4.9506
2001-09-12,5.6178,4.8699
2001-09-13,5.3477,4.9222
2001-09-14,5.0529,4.8334
2001-09-17,5.4185,4.8764
2001-09-18,5.2313,4.8949
2001-09-19,5.2257,4.9104
2001-09-20,4.7377,4.9264
2001-09-21,4.6743,4.8981
2001-09-24,5.1669,4.9242
2001-09-25,4.905,4.9154
2001-09-26,4.8313,4.8954
2001-09-27,5.2284,4.8812
2001-09-28,5.1683,4.9122
2001-10-01,5.592,4.9291
2001-10-02,5.6445,4.8746
2001-10-03,5.714,4.7966
2001-10-04,5.2735,4.7832
2001-10-05,5.2079,4.7821
2001-10-08,5.1241,4.7612
2001-10-09,4.4425,4.8409
2001-10-10,4.4661,4.8703
2001-10-11,4.6633,4.9331
2001-10-12,4.7627,4.917
2001-10-15,4.9315,4.8513
2001-10-16,4.4424,4.84
2001-10-17,3.8468,4.833
2001-10-18,3.7583,4.8342
